run,random_search,flash_v1,flash_v2,tpe
1,1.472,1.46,1.46,1.46
2,1.472,1.46,1.46,1.46
3,1.46,1.46,1.46,1.46
4,1.472,1.46,1.46,1.46
5,1.472,1.46,1.46,1.46
6,1.514,1.46,1.46,1.46
7,1.514,1.46,1.472,1.46
8,1.46,1.46,1.46,1.46
9,1.46,1.46,1.46,1.46
10,1.46,1.46,1.46,1.46
11,1.46,1.46,1.46,1.46
12,1.472,1.46,1.46,1.46
13,1.514,1.46,1.46,1.46
14,1.46,1.46,1.46,1.46
15,1.526,1.46,1.46,1.46
16,1.46,1.46,1.46,1.46
17,1.472,1.46,1.46,1.46
18,1.514,1.46,1.46,1.46
19,1.526,1.46,1.46,1.46
20,1.514,1.46,1.46,1.46
21,1.472,1.46,1.46,1.46
22,1.472,1.46,1.46,1.46
23,1.514,1.46,1.46,1.46
24,1.52,1.46,1.46,1.46
25,1.46,1.46,1.46,1.46
26,1.46,1.46,1.46,1.46
27,1.46,1.46,1.46,1.46
28,1.46,1.46,1.46,1.46
29,1.514,1.46,1.46,1.46
30,1.46,1.46,1.46,1.46
