run,random_search,flash_rf,tpe
1,46073.6,45922.8,45939.8
2,46092.0,45922.8,45922.8
3,46070.8,45980.8,46039.0
4,46092.0,45922.8,45939.8
5,46022.8,46039.0,45980.8
6,46064.6,46039.0,46022.8
7,46102.0,45922.8,45939.8
8,45939.8,46035.0,45922.8
9,46064.6,46039.0,45980.8
10,46073.6,45922.8,45939.8
11,46064.6,46022.8,46022.8
12,45939.8,45939.8,45980.8
13,46022.8,45939.8,45939.8
14,46111.6,45939.8,46092.0
15,46035.0,45922.8,46039.0
16,46054.6,45939.8,45922.8
17,45939.8,45939.8,46039.0
18,45922.8,46054.6,45939.8
19,46121.6,45980.8,46073.6
20,46035.0,46035.0,45922.8
21,46039.0,46039.0,45939.8
22,45939.8,46064.6,45939.8
23,46022.8,45980.8,45939.8
24,46124.2,45939.8,45922.8
25,46121.0,45922.8,45922.8
26,45939.8,46039.0,45922.8
27,46073.6,45922.8,45939.8
28,45939.8,45939.8,46039.0
29,45980.8,45939.8,45922.8
30,46094.8,46035.0,45980.8
